Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance,Club_Category
Diego Laxalt,27,West Ham,URU,Midfielder,9,1,7.5,1,0,13,11,34.74,23.02,2,8,16,4,0,Normal,English
Calum Chambers,25,Stoke,ENG,Defender,27,2,7.1,0,0,291,25,47.47,31.12,4,5,208,173,0,Good,English
Héctor Bellerín,24,Arsenal,ESP,Defender,31,9,9.0,3,0,192,198,53.07,40.55,24,40,257,194,0,Good,English
Theo Bongonda,24,Swansea,BEL,Midfielder,28,3,8.5,4,0,50,69,38.44,27.67,17,33,67,34,0,Good,English
Nordin Amrabat,32,Watford,MAR,Midfielder,26,4,8.6,3,0,60,52,42.17,28.37,13,32,81,41,0,Normal,English
Adam Forshaw,28,Brighton,ENG,Midfielder,13,1,8.4,0,0,27,15,54.13,38.15,1,3,29,23,0,Normal,English
Paul Papp,30,Crystal Palace,ROU,Defender,27,0,6.4,0,0,234,2,45.55,33.02,2,9,82,73,0,Good,English
M’Baye Niang,25,Crystal Palace,FRA,Midfielder,5,0,7.7,0,0,1,4,36.49,22.7,3,7,1,1,0,Normal,English
Ibai Gómez,30,Deportivo,ESP,Midfielder,7,1,4.3,0,0,4,1,24.13,13.65,0,5,13,8,0,Bad,Spanish
Ilias Moutha Sebtaoui,20,Man Utd,BEL,Goalkeeper,13,0,2.8,0,3,1,0,25.54,20.15,0,0,0,0,11,Good,English
Aritz Elustondo,25,Granada,ESP,Defender,26,3,4.3,1,0,32,6,21.56,16.23,1,7,93,69,0,Bad,Spanish
Luan,26,Liverpool,BRA,Midfielder,30,3,7.7,8,0,53,104,38.18,26.57,31,84,55,30,0,Good,English
Valmir,21,Málaga,BRA,Defender,11,1,5.4,0,0,24,2,21.94,12.54,0,4,45,34,0,Bad,Spanish
Rúben Vezo,25,Valencia,POR,Defender,37,2,4.7,2,0,115,15,25.08,19.73,7,21,147,120,0,Normal,Spanish
Alex McCarthy,30,Southampton,ENG,Goalkeeper,7,0,2.7,0,8,0,0,27.82,19.5,0,0,0,0,2,Normal,English
Sergi Palencia,23,Atlético,ESP,Defender,30,3,6.1,1,0,128,30,33.01,25.74,5,18,149,123,0,Good,Spanish
Keylor Navas,33,R. Madrid,CRC,Goalkeeper,41,0,1.8,0,33,0,0,21.02,12.46,0,0,0,0,18,Good,Spanish
Fabian Schär,28,Liverpool,SUI,Defender,14,0,5.9,0,0,98,3,36.71,27.39,2,8,33,28,0,Good,English
Hugo Mallo,28,Celta,ESP,Defender,40,1,5.0,0,0,156,1,23.13,18.63,5,25,198,171,0,Normal,Spanish
Pablo Íñiguez,26,Leicester,ESP,Defender,29,0,6.2,1,0,306,6,51.72,41.67,2,5,143,127,0,Good,English
Islam Abakarov,20,CSKA Moscow,RUS,Midfielder,5,0,5.4,0,0,1,0,24.36,14.21,2,8,9,6,0,Bad,Other
Simon Mignolet,31,Liverpool,BEL,Goalkeeper,27,0,2.9,0,44,3,0,27.62,16.83,0,0,0,0,8,Normal,English
Adrien Duval,19,Elche,FRA,Defender,13,0,5.2,0,0,5,0,25.53,15.64,0,0,24,18,0,Bad,Spanish
Álex Muñoz,25,Middlesbrough,ESP,Defender,22,0,6.7,1,0,265,5,39.99,27.38,3,6,74,59,0,Good,English
Timothy Fosu-Mensah,22,Chelsea,NED,Defender,22,1,6.8,0,0,136,9,48.66,38.41,2,6,60,50,0,Good,English
Rick Karsdorp,25,Arsenal,NED,Defender,15,4,8.5,0,0,41,41,51.86,41.17,2,4,56,42,0,Bad,English
Mitchell Dijks,27,Celta,NED,Defender,17,2,5.2,0,0,29,4,26.3,20.6,1,1,50,40,0,Bad,Spanish
Yrondu Musavu-King,28,Granada,GAB,Defender,5,0,4.6,0,0,5,0,18.58,13.12,0,1,14,11,0,Bad,Spanish
Xabi Etxeita,32,Athletic,ESP,Defender,17,1,4.6,0,0,53,2,21.83,17.55,0,3,80,66,0,Normal,Spanish
Jesús Vallejo,23,Man Utd,ESP,Defender,25,0,5.8,8,0,262,12,43.02,35.16,18,47,102,85,0,Good,English
Mikael Larsson,19,Málaga,SWE,Midfielder,7,1,4.8,2,0,7,10,24.86,14.57,5,9,0,0,0,Normal,Spanish
Matteo Darmian,30,R. Madrid,ITA,Defender,24,3,5.7,0,0,35,8,31.73,24.05,0,1,95,80,0,Bad,Spanish
Henri Saivet,29,Newcastle,SEN,Midfielder,8,3,8.2,0,0,19,36,64.75,57.71,5,9,15,9,0,Good,English
Cyrus Christie,27,Brighton,IRL,Defender,28,3,7.8,1,0,320,47,44.21,27.91,6,10,132,105,0,Good,English
Thibaut Courtois,27,Chelsea,BEL,Goalkeeper,46,0,2.8,0,50,2,2,27.58,22.26,0,0,0,0,20,Good,English
Keko,28,Málaga,ESP,Midfielder,27,3,4.3,5,0,29,20,27.03,16.62,18,62,10,3,0,Normal,Spanish
Danny Rose,29,Tottenham,ENG,Defender,21,1,8.0,0,0,133,45,58.18,45.99,2,4,107,89,0,Good,English
Krystian Bielik,22,Southampton,POL,Defender,7,0,6.3,0,0,89,1,50.29,37.43,1,4,30,23,0,Good,English
Jamie Vardy,33,Leicester,ENG,Midfielder,26,2,7.7,11,0,17,43,26.94,19.5,36,86,31,13,0,Normal,English
Mikel Balenziaga,32,Athletic,ESP,Defender,24,4,5.0,0,0,74,7,23.28,17.73,0,6,120,95,0,Normal,Spanish
Jordan Veretout,27,Sunderland,FRA,Midfielder,12,0,7.6,1,0,42,19,49.46,39.05,2,5,40,29,0,Normal,English
Rubén Rochina,28,Rayo,ESP,Midfielder,22,0,4.2,2,0,10,0,29.57,16.0,9,24,32,12,0,Bad,Spanish
Muamer Tankovic,25,Brighton,SWE,Midfielder,17,1,7.1,6,0,14,18,31.33,24.24,11,19,17,6,0,Normal,English
Munas Dabbur,27,Villarreal,ISR,Midfielder,21,2,4.4,4,0,14,3,25.17,17.96,20,38,22,9,0,Bad,Spanish
Lionel Messi,32,FC Barcelona,ARG,Midfielder,38,8,4.5,10,0,85,49,60.91,41.44,40,87,63,38,0,Normal,Spanish
Strahinja Karisic,22,Granada,SRB,Midfielder,18,0,4.7,2,0,12,3,32.9,25.6,7,21,16,7,0,Bad,Spanish
Sofiane Feghouli,30,Valencia,ALG,Midfielder,29,6,5.3,3,0,25,21,27.98,16.2,15,27,58,33,0,Normal,Spanish
Jon Gaztañaga,28,Athletic,ESP,Defender,25,4,4.8,1,0,100,12,35.41,29.82,1,7,151,118,0,Normal,Spanish
Yûto Nagatomo,33,Espanyol,JPN,Defender,27,3,5.1,0,0,57,3,26.09,19.9,1,4,105,76,0,Bad,Spanish
Nuno Santos,25,Valencia,POR,Midfielder,35,7,5.1,10,0,77,26,32.13,19.16,29,56,38,24,0,Normal,Spanish
Federico Fernández,31,Swansea,ARG,Defender,25,0,6.2,1,0,308,4,47.79,35.32,3,6,97,82,0,Good,English
João Miguel,24,Everton,POR,Goalkeeper,25,0,2.7,0,33,2,0,25.6,10.56,0,0,0,0,4,Bad,English
Razak,32,Córdoba,GHA,Goalkeeper,27,0,1.6,0,52,0,0,13.33,4.63,0,0,0,0,3,Bad,Spanish
Andrija Zivkovic,23,Atlético,SRB,Midfielder,36,6,5.3,13,0,70,52,36.72,23.07,57,122,30,15,0,Normal,Spanish
José Mari,32,AFC Astra,ESP,Defender,21,2,1.6,1,0,8,0,23.17,16.08,1,11,57,42,0,Bad,Other
Evan Bradbury,20,Sunderland,USA,Defender,25,1,6.6,0,0,205,17,35.29,22.99,2,4,115,85,0,Good,English
Víctor,30,R. Sociedad,ESP,Midfielder,19,3,4.3,0,0,10,7,26.51,14.91,3,11,16,9,0,Normal,Spanish
Ozan Tufan,24,Aston Villa,TUR,Midfielder,35,3,7.9,2,0,168,94,56.6,42.3,10,24,140,99,0,Good,English
Roberto Rosales,31,Málaga,VEN,Defender,20,2,4.9,0,0,35,2,30.06,19.1,1,11,75,56,0,Bad,Spanish
Sergio Álvarez,28,Newcastle,ESP,Midfielder,28,0,7.4,0,0,158,26,48.23,40.28,2,13,141,110,0,Normal,English
Mateo Kovacic,25,R. Madrid,CRO,Midfielder,22,2,4.9,2,0,20,9,51.24,33.26,10,22,39,25,0,Normal,Spanish
Liam Cullen,20,Swansea,WAL,Midfielder,10,0,7.0,1,0,4,12,33.8,24.23,10,21,10,3,0,Normal,English
Chancel Mbemba,25,Newcastle,COD,Defender,36,4,7.1,0,0,369,84,52.15,39.84,2,13,229,195,0,Good,English
Tiago Ruíz Díaz,22,Valencia,ARG,Defender,34,0,5.3,0,0,134,5,23.53,17.96,3,18,155,123,0,Normal,Spanish
Joe Hart,32,Man City,ENG,Goalkeeper,39,0,2.8,0,54,1,0,27.89,22.19,0,0,0,0,10,Normal,English
Marçal,31,Getafe,BRA,Defender,24,6,5.1,0,0,86,11,29.67,19.7,0,3,117,89,0,Normal,Spanish
Franco Acosta,23,Middlesbrough,URU,Striker,25,2,6.9,5,0,7,35,23.68,18.23,7,25,27,13,0,Good,English
Danny Welbeck,29,Stoke,ENG,Midfielder,21,2,7.1,7,0,15,39,27.68,19.17,23,49,32,14,0,Normal,English
Federico Ricca,25,Málaga,URU,Defender,19,1,4.8,0,0,59,3,21.71,17.38,1,11,61,47,0,Normal,Spanish
Dani Ceballos,23,Atlético,ESP,Midfielder,34,5,5.7,5,0,98,38,53.0,43.8,12,29,85,52,0,Normal,Spanish
Ander Herrera,30,Watford,ESP,Midfielder,25,4,8.1,1,0,78,97,64.11,48.9,11,33,93,69,0,Good,English
Marcel Sabitzer,25,Leicester,AUT,Midfielder,21,2,8.3,4,0,28,31,35.45,27.31,16,47,31,20,0,Normal,English
Ricardo Rodríguez,27,Man City,SUI,Defender,36,5,7.8,0,0,304,67,51.8,40.73,3,10,288,240,0,Good,English
Vincent Aboubakar,28,Chelsea,CMR,Striker,31,3,7.3,13,0,26,53,21.72,14.94,45,109,57,21,0,Good,English
Simeon Slavchev,26,Stoke,BUL,Midfielder,19,1,7.9,2,0,65,13,63.71,49.06,10,26,56,48,0,Normal,English
Aleksandar Dragovic,28,Arsenal,AUT,Defender,35,0,6.4,4,0,275,12,43.61,34.88,8,22,130,113,0,Good,English
Lovre Kalinic,29,Brentford,CRO,Goalkeeper,32,0,2.9,0,52,2,1,29.47,10.5,0,0,0,0,4,Bad,English
Christian Benteke,29,Everton,BEL,Striker,20,0,6.5,4,0,8,24,39.3,25.84,8,16,12,4,0,Bad,English
Adalberto Peñaranda,22,Watford,VEN,Midfielder,23,1,8.5,4,0,73,44,40.29,28.98,20,42,96,59,0,Normal,English
Óscar De Marcos,30,Athletic,ESP,Defender,27,3,5.2,4,0,29,10,25.71,16.0,13,51,35,27,0,Bad,Spanish
Enzo Crivelli,25,Leicester,FRA,Striker,16,0,7.7,3,0,8,20,34.07,24.73,9,25,16,8,0,Bad,English
Nicola Murru,25,Swansea,ITA,Defender,25,1,7.7,0,0,218,44,51.03,38.81,3,7,149,115,0,Good,English
Facundo Roncaglia,33,Granada,ARG,Defender,26,2,5.2,0,0,124,4,25.46,20.92,1,7,127,100,0,Good,Spanish
Emmanuel Mas,31,Celta,ARG,Defender,37,2,5.3,1,0,119,11,25.29,19.42,5,14,164,129,0,Normal,Spanish
Graziano Pellè,34,Rayo,ITA,Midfielder,21,1,4.4,8,0,22,2,31.52,18.76,18,34,25,10,0,Bad,Spanish
Jack Butland,26,Arsenal,ENG,Goalkeeper,36,0,2.8,0,24,1,0,25.64,21.86,0,0,0,0,21,Good,English
Ricardo Horta,25,Newcastle,POR,Midfielder,9,1,8.5,2,0,9,52,48.39,39.58,6,13,17,8,0,Good,English
Juan Antonio Segura,22,Albacete,ESP,Midfielder,25,3,4.7,1,0,15,6,37.78,23.0,4,14,34,19,0,Bad,Spanish
Lewis Dunk,28,Brighton,ENG,Defender,9,0,6.3,0,0,88,3,30.0,19.28,0,0,38,34,0,Good,English
Jay Rodriguez,30,Southampton,ENG,Midfielder,33,4,7.4,3,0,26,39,29.31,20.74,16,50,37,17,0,Normal,English
Carlos Zambrano,30,Celta,PER,Defender,21,0,4.1,0,0,32,0,21.47,15.71,2,6,68,57,0,Bad,Spanish
Daniel Carriço,31,Sevilla,POR,Defender,23,2,4.5,0,0,100,3,23.34,20.27,1,6,121,103,0,Good,Spanish
Iker Muniain,27,Athletic,ESP,Midfielder,28,8,4.6,6,0,43,23,35.82,21.36,26,74,3,2,0,Normal,Spanish
Bernard,27,Crystal Palace,BRA,Midfielder,27,5,8.3,11,0,60,99,39.1,28.92,36,56,92,51,0,Good,English
Yoshinori Mutô,27,Stoke,JPN,Midfielder,32,2,7.8,7,0,54,67,31.67,22.82,30,54,111,60,0,Normal,English
Kieran Gibbs,30,Crystal Palace,ENG,Defender,7,0,6.8,0,0,9,6,33.41,23.97,0,2,19,14,0,Bad,English
Ryan Mason,28,Sunderland,ENG,Midfielder,29,3,8.1,1,0,125,56,57.11,45.73,10,22,131,103,0,Normal,English
Che Nunnely,21,Man Utd,NED,Midfielder,19,5,8.1,6,0,24,93,39.66,31.88,20,42,47,25,0,Good,English
Gustavo Cabral,34,Celta,ARG,Defender,14,1,4.8,0,0,60,3,22.02,17.91,0,3,79,67,0,Good,Spanish
Steven N'Zonzi,31,Swansea,FRA,Midfielder,23,0,8.0,0,0,101,29,69.71,55.6,5,11,31,28,0,Normal,English
Alberto De la Bella,34,R. Sociedad,ESP,Defender,15,7,4.8,0,0,62,10,28.02,21.72,1,1,72,57,0,Good,Spanish
Casemiro,28,Valencia,BRA,Midfielder,42,2,5.5,3,0,104,13,35.42,28.24,7,21,214,158,0,Normal,Spanish
Matthijs de Ligt,20,Getafe,NED,Defender,27,0,4.6,2,0,87,8,36.48,30.53,8,25,139,96,0,Normal,Spanish
Julio Buffarini,31,R. Betis,ARG,Defender,36,6,5.8,1,0,66,13,25.12,18.39,4,13,151,112,0,Bad,Spanish
Andreas Christensen,23,Chelsea,DEN,Defender,43,0,6.5,4,0,442,3,49.65,38.83,6,28,148,124,0,Good,English
Michael McIntosh,19,Brentford,ENG,Striker,18,1,7.1,2,0,9,48,37.45,29.43,20,41,32,16,0,Bad,English
Mikey Oliver,19,Blackburn,ENG,Midfielder,23,6,5.4,6,0,45,31,54.16,36.33,25,60,14,11,0,Normal,Other
Jefferson Lerma,25,Villarreal,COL,Midfielder,31,6,5.2,2,0,103,22,34.77,28.73,8,23,154,103,0,Normal,Spanish
Suso,26,Everton,ESP,Midfielder,31,12,7.9,4,0,49,70,42.19,27.12,14,35,76,47,0,Good,English
Xabi Llorente,20,Athletic,ESP,Defender,27,2,4.2,0,0,81,8,46.57,34.69,0,8,146,125,0,Bad,Spanish
Recio,29,Málaga,ESP,Midfielder,15,1,5.3,1,0,28,6,34.04,27.94,6,12,56,32,0,Normal,Spanish
Edoardo Goldaniga,26,Newcastle,ITA,Defender,34,1,6.0,1,0,427,1,44.47,32.85,2,12,160,133,0,Good,English
Yoel,31,Deportivo,ESP,Goalkeeper,12,0,1.4,0,18,0,1,17.41,7.84,0,0,2,1,3,Normal,Spanish
Alexey Miranchuk,24,Watford,RUS,Midfielder,30,3,7.6,7,0,33,85,43.44,31.93,23,67,60,30,0,Good,English
Cesc Fàbregas,32,R. Sociedad,ESP,Midfielder,17,3,4.3,1,0,25,3,45.27,31.96,3,8,30,21,0,Normal,Spanish
Ignasi Castro,20,Alavés,ESP,Defender,5,0,4.5,0,0,19,0,19.0,13.0,0,2,23,18,0,Normal,Spanish
John Brooks,27,Aston Villa,USA,Defender,26,2,5.8,0,0,308,10,36.07,25.59,3,9,77,67,0,Good,English
Filip Djordjevic,32,Villarreal,SRB,Midfielder,16,1,4.9,9,0,13,3,27.03,16.68,23,47,11,4,0,Bad,Spanish
Michael Gregoritsch,25,Brentford,AUT,Midfielder,29,7,8.2,5,0,109,70,42.67,30.68,24,57,77,40,0,Good,English
Arthur Masuaku,26,Arsenal,COD,Defender,10,3,8.0,0,0,34,22,50.79,38.76,0,4,38,32,0,Normal,English
Nenad Tomovic,32,Middlesbrough,SRB,Defender,30,1,7.0,1,0,268,15,38.7,26.18,2,5,113,89,0,Good,English
Mark Noble,32,West Ham,ENG,Midfielder,15,0,7.9,0,0,37,15,56.49,45.55,0,5,45,30,0,Normal,English
Aleksandar Mitrovic,25,Newcastle,SRB,Striker,25,2,7.1,5,0,34,60,38.77,28.87,20,57,36,16,0,Bad,English
Gerard Deulofeu,25,Everton,ESP,Midfielder,10,1,9.0,1,0,14,13,39.93,26.62,6,10,16,9,0,Normal,English
Iván Marcano,32,Getafe,ESP,Defender,23,1,4.7,0,0,71,6,19.21,14.93,0,11,102,84,0,Normal,Spanish
Kenny Tete,24,Aston Villa,NED,Defender,30,7,8.1,0,0,222,101,52.13,38.75,3,6,174,137,0,Good,English
Leroy Sané,24,R. Madrid,GER,Midfielder,19,5,4.9,5,0,15,15,26.8,15.58,19,47,3,2,0,Normal,Spanish
Tom Thorpe,27,Middlesbrough,ENG,Defender,30,0,6.4,1,0,356,5,32.64,21.42,4,4,119,105,0,Good,English
Pedro Obiang,27,West Ham,EQG,Midfielder,34,2,8.2,1,0,218,67,60.48,46.68,3,17,137,104,0,Normal,English
Keziah Veendorp,23,West Ham,NED,Defender,18,0,6.2,0,0,121,0,33.08,19.56,1,3,40,35,0,Good,English
Liam Bridcutt,30,Sunderland,SCO,Defender,16,3,7.4,0,0,55,18,52.19,39.59,2,3,64,45,0,Normal,English
Nathaniel Ofori,20,R. Sociedad,GHA,Defender,27,2,4.4,0,0,99,2,21.39,15.75,1,9,119,103,0,Normal,Spanish
Lewis Cook,23,Man Utd,ENG,Midfielder,18,1,7.4,0,0,111,19,53.58,48.65,6,11,76,61,0,Normal,English
Ben Amos,29,Brighton,ENG,Goalkeeper,32,0,2.9,0,46,2,1,32.75,19.25,0,0,0,0,8,Normal,English
Ryan Bertrand,30,Southampton,ENG,Defender,11,1,6.5,0,0,44,11,39.78,31.19,2,6,25,20,0,Normal,English
Sergi Roberto,28,Liverpool,ESP,Midfielder,12,0,7.1,0,0,27,13,44.79,37.51,0,3,26,21,0,Normal,English
Leandro Damião,30,R. Betis,BRA,Striker,23,2,4.5,10,0,18,7,23.55,13.19,33,62,10,4,0,Good,Spanish
Sergio León,29,Levante,ESP,Midfielder,6,0,4.7,0,0,1,0,31.97,15.99,5,7,6,2,0,Bad,Spanish
Miguel Costa,19,R. Betis,POR,Striker,36,3,5.7,16,0,34,16,22.71,13.24,58,128,6,3,0,Good,Spanish
